カテゴリ,ファイル名,主要機能,詳細説明,技術要素,関連モデル,処理フロー,入出力,ビジネスロジック,エラーハンドリング,パフォーマンス考慮
デバッグ・トラブルシューティング,debug_mapping.py,マッピングデバッグ,勘定科目マッピング処理の総合デバッグ・マッピング精度問題調査・AI・完全一致・参照マッピング全体のトラブルシューティング機能,総合マッピングデバッグ + 精度分析,AccountMapping・CSVData・StandardAccount,1.マッピング全体分析→2.精度問題調査→3.各手法比較→4.総合問題特定→5.精度向上分析→6.最適化提案,入力：マッピング処理全体ログ・精度データ / 出力：総合デバッグ結果・精度比較分析・最適化提案,総合マッピング分析・精度比較・品質向上・最適化戦略・処理効率化,マッピング精度問題・処理失敗・品質劣化・最適化失敗のハンドリング,高速総合分析・効率的な精度比較・マッピング最適化
デバッグ・トラブルシューティング,debug_safety_indicators.py,安全性指標デバッグ,安全性指標計算のデバッグ・安全性分析問題調査・指標計算精度のトラブルシューティング・安全性評価品質向上機能,安全性指標デバッグ + 計算精度,AnalysisResult・StandardAccountBalance,1.安全性計算分析→2.指標精度調査→3.計算問題特定→4.評価品質確認→5.精度向上分析→6.改善策提案,入力：安全性計算ログ・指標データ / 出力：安全性デバッグ結果・計算精度分析・改善策,安全性計算分析・指標精度管理・計算品質向上・評価最適化・信頼性確保,安全性計算エラー・指標精度問題・評価品質劣化・計算失敗のハンドリング,高速安全性分析・効率的な計算デバッグ・精度最適化
デバッグ・トラブルシューティング,debug_utils.py,デバッグユーティリティ,システム全体のデバッグ支援機能・共通デバッグツール・ログ分析支援・エラー追跡機能・デバッグ効率化ユーティリティ機能,デバッグ支援 + ユーティリティ,全モデル,1.デバッグ要求受信→2.対象システム特定→3.ログ分析実行→4.エラー追跡→5.問題特定支援→6.デバッグレポート,入力：デバッグ対象・ログデータ / 出力：デバッグ支援結果・分析レポート・問題特定情報,総合デバッグ支援・ログ分析・エラー追跡・問題解決支援・デバッグ効率化,デバッグツールエラー・ログ分析失敗・追跡失敗・支援機能問題のハンドリング,高速デバッグ支援・効率的なログ分析・問題特定最適化
データ修正・メンテナンス,delete_and_recalculate.py,データ削除・再計算,既存データの削除と再計算処理・データリセット機能・計算結果の再生成・データ整合性復旧・メンテナンス作業支援機能,データ削除 + 再計算処理,StandardAccountBalance・AnalysisResult,1.削除対象特定→2.データ削除実行→3.依存関係確認→4.再計算実行→5.整合性検証→6.復旧完了確認,入力：削除対象・再計算設定 / 出力：削除結果・再計算結果・整合性レポート,データメンテナンス・整合性復旧・計算結果管理・データ品質向上・システム保守,削除失敗・再計算エラー・整合性問題・復旧失敗のハンドリング,効率的なデータ削除・高速再計算・整合性最適化
データ修正・メンテナンス,demo_data_setup.py,デモデータセットアップ,デモンストレーション用データの作成・サンプルJAデータ生成・デモ環境構築・プレゼンテーション用データ準備機能,デモデータ作成 + 環境構築,JA・CSVData・StandardAccountBalance,1.デモ要件定義→2.サンプルデータ設計→3.デモデータ作成→4.環境セットアップ→5.デモ環境検証→6.プレゼン準備完了,入力：デモ要件・サンプル設定 / 出力：デモデータ・デモ環境・プレゼン資料,デモ環境管理・サンプルデータ作成・プレゼンテーション支援・環境構築・品質保証,デモデータ作成エラー・環境構築失敗・サンプル品質問題のハンドリング,高速デモ環境構築・効率的なサンプル作成・プレゼン最適化
再計算・更新処理,recalculate_all_ja_efficiency.py,全JA効率性指標再計算,全JAの効率性指標を一括再計算・総資産回転率等の効率性指標更新・全組織の効率性分析更新・システム全体の効率性データ再生成機能,全JA一括処理 + 効率性再計算,AnalysisResult・StandardAccountBalance・JA,1.全JA抽出→2.効率性指標一括計算→3.結果データ更新→4.品質検証→5.整合性確認→6.全JA更新完了,入力：全JAデータ・効率性計算設定 / 出力：全JA効率性指標・更新結果・品質レポート,全JA効率性管理・一括計算処理・指標統一・品質保証・システム全体最適化,一括計算エラー・更新失敗・品質問題・整合性エラーのハンドリング,高速一括計算・効率的な全JA処理・並列計算最適化
再計算・更新処理,recalculate_efficiency_indicators.py,効率性指標再計算,効率性指標の再計算処理・総資産回転率・売上高・効率性分析指標の更新・効率性評価の品質向上機能,効率性指標 + 再計算処理,AnalysisResult・StandardAccountBalance,1.効率性データ抽出→2.指標再計算実行→3.評価更新→4.品質確認→5.結果検証→6.効率性更新完了,入力：効率性データ・計算設定 / 出力：更新済み効率性指標・計算結果・品質評価,効率性分析・指標計算・評価更新・品質向上・計算精度管理,効率性計算エラー・更新失敗・品質劣化・精度問題のハンドリング,高速効率性計算・効率的な指標更新・計算最適化
再計算・更新処理,recalculate_indicators.py,財務指標一括再計算,全財務指標の一括再計算処理・流動性・収益性・安全性・効率性・キャッシュフロー指標の包括的更新・財務分析データ全体の再生成機能,財務指標一括処理 + 包括的再計算,AnalysisResult・StandardAccountBalance,1.全指標データ抽出→2.包括的再計算実行→3.指標別更新→4.統合品質確認→5.整合性検証→6.全指標更新完了,入力：全財務データ・計算設定 / 出力：全財務指標・包括的更新結果・統合品質レポート,包括的財務分析・全指標管理・統合計算・品質保証・システム全体最適化,包括的計算エラー・指標更新失敗・統合品質問題・整合性エラーのハンドリング,高速包括的計算・効率的な全指標処理・統合最適化
再計算・更新処理,recalculate_liquidity_indicators.py,流動性指標再計算,流動性指標の再計算処理・流動比率・当座比率等の流動性分析指標更新・流動性評価の品質向上・短期支払能力分析更新機能,流動性指標 + 再計算処理,AnalysisResult・StandardAccountBalance,1.流動性データ抽出→2.流動性指標再計算→3.比率更新→4.評価品質確認→5.結果検証→6.流動性更新完了,入力：流動性データ・計算設定 / 出力：更新済み流動性指標・計算結果・品質評価,流動性分析・比率計算・評価更新・品質向上・短期支払能力評価,流動性計算エラー・比率更新失敗・品質劣化・評価問題のハンドリング,高速流動性計算・効率的な比率更新・評価最適化
再計算・更新処理,recalculate_profitability_indicators.py,収益性指標再計算,収益性指標の再計算処理・ROA・ROE・営業利益率等の収益性分析指標更新・収益性評価の品質向上・利益効率分析更新機能,収益性指標 + 再計算処理,AnalysisResult・StandardAccountBalance,1.収益性データ抽出→2.収益性指標再計算→3.利益率更新→4.評価品質確認→5.結果検証→6.収益性更新完了,入力：収益性データ・計算設定 / 出力：更新済み収益性指標・計算結果・品質評価,収益性分析・利益率計算・評価更新・品質向上・利益効率評価,収益性計算エラー・利益率更新失敗・品質劣化・評価問題のハンドリング,高速収益性計算・効率的な利益率更新・評価最適化
再計算・更新処理,recalculate_safety_indicators.py,安全性指標再計算,安全性指標の再計算処理・自己資本比率・負債比率等の安全性分析指標更新・安全性評価の品質向上・財務安定性分析更新機能,安全性指標 + 再計算処理,AnalysisResult・StandardAccountBalance,1.安全性データ抽出→2.安全性指標再計算→3.比率更新→4.評価品質確認→5.結果検証→6.安全性更新完了,入力：安全性データ・計算設定 / 出力：更新済み安全性指標・計算結果・品質評価,安全性分析・比率計算・評価更新・品質向上・財務安定性評価,安全性計算エラー・比率更新失敗・品質劣化・評価問題のハンドリング,高速安全性計算・効率的な比率更新・評価最適化
再計算・更新処理,recreate_all_balances.py,全残高データ再作成,全ての残高データを再作成・BS・PL・CF残高の包括的再生成・データ整合性復旧・残高データ品質向上・システム全体の残高データ再構築機能,全残高再作成 + 包括的再生成,StandardAccountBalance,1.既存残高削除→2.全財務諸表データ抽出→3.包括的残高再計算→4.整合性確認→5.品質検証→6.全残高再構築完了,入力：全財務データ・再作成設定 / 出力：再作成済み全残高・整合性レポート・品質評価,包括的残高管理・データ整合性復旧・品質向上・システム全体最適化・残高統一,残高再作成エラー・整合性失敗・品質劣化・再構築問題のハンドリング,高速残高再作成・効率的な包括的処理・整合性最適化
再計算・更新処理,recreate_cf_balances.py,CF残高データ再作成,キャッシュフロー計算書残高データの再作成・CF残高の完全再生成・キャッシュフロー計算精度向上・CF残高品質管理機能,CF残高再作成 + 完全再生成,StandardAccountBalance,1.既存CF残高削除→2.CFデータ抽出→3.CF残高再計算→4.キャッシュフロー検証→5.品質確認→6.CF残高再構築完了,入力：CFデータ・再作成設定 / 出力：再作成済みCF残高・キャッシュフロー品質・検証結果,キャッシュフロー残高管理・計算精度向上・品質保証・CF特化最適化,CF残高エラー・再作成失敗・計算精度問題・品質劣化のハンドリング,高速CF残高処理・効率的なキャッシュフロー計算・CF最適化
再計算・更新処理,recreate_deposit_balances.py,預金残高データ再作成,JA特有の預金関連残高データ再作成・預金科目残高の完全再生成・JA業務特性に対応した預金残高管理・預金データ品質向上機能,JA預金残高 + 業務特性対応,StandardAccountBalance,1.既存預金残高削除→2.預金関連データ抽出→3.JA特性対応再計算→4.預金残高検証→5.業務整合性確認→6.預金残高再構築完了,入力：預金関連データ・JA業務設定 / 出力：再作成済み預金残高・業務整合性・品質評価,JA預金業務管理・業務特性対応・預金残高品質・JA特化最適化・業務整合性,預金残高エラー・業務特性問題・再作成失敗・整合性エラーのハンドリング,高速預金処理・効率的なJA業務対応・預金最適化
修正・メンテナンス・fix_系,fix_account_parent_codes.py,勘定科目親コード修正,勘定科目の親子関係コード修正・階層構造の整合性修正・親勘定科目コードの正確性向上・勘定科目体系の構造修正機能,親子関係修正 + 階層構造,StandardAccount,1.親子関係確認→2.階層構造分析→3.不整合特定→4.親コード修正→5.整合性検証→6.構造修正完了,入力：勘定科目階層データ・修正設定 / 出力：修正済み親子関係・階層構造・整合性レポート,勘定科目階層管理・親子関係修正・構造整合性・体系最適化・階層品質向上,階層エラー・親子不整合・構造問題・修正失敗のハンドリング,効率的な階層修正・高速構造調整・整合性最適化
修正・メンテナンス・fix_系,fix_accounts_display.py,勘定科目表示修正,勘定科目表示に関する問題修正・UI表示順序修正・勘定科目画面表示の改善・ユーザーインターフェース最適化機能,表示修正 + UI最適化,StandardAccount・StandardAccountBalance,1.表示問題特定→2.UI設計分析→3.表示順序修正→4.画面表示改善→5.ユーザビリティ検証→6.表示修正完了,入力：表示問題・UI設定 / 出力：修正済み表示・UI改善・ユーザビリティレポート,UI表示管理・表示順序最適化・ユーザビリティ向上・画面品質改善・操作性向上,表示エラー・UI問題・順序不整合・ユーザビリティ問題のハンドリング,高速表示修正・効率的なUI改善・表示最適化
修正・メンテナンス・fix_系,fix_account_totals.py,勘定科目合計修正,勘定科目合計値の修正・計算式の修正・合計計算の精度向上・勘定科目階層合計の整合性修正機能,合計修正 + 計算精度,StandardAccount・AccountFormula,1.合計問題特定→2.計算式分析→3.合計値修正→4.階層計算改善→5.精度検証→6.合計修正完了,入力：合計問題・計算設定 / 出力：修正済み合計・計算精度・検証結果,合計計算管理・計算精度向上・階層合計最適化・計算品質改善・精度保証,合計計算エラー・精度問題・階層不整合・計算失敗のハンドリング,高速合計修正・効率的な計算改善・精度最適化
修正・メンテナンス・fix_系,fix_ai_mapping.py,AIマッピング修正,AI勘定科目マッピング機能の修正・マッピング精度向上・AI応答問題の修正・自動マッピング品質改善機能,AIマッピング修正 + 精度向上,AccountMapping・StandardAccount,1.AIマッピング問題特定→2.精度分析→3.AI応答改善→4.マッピング品質向上→5.精度検証→6.AIマッピング修正完了,入力：AIマッピング問題・精度設定 / 出力：修正済みAIマッピング・精度向上・品質改善,AI機能改善・マッピング精度管理・自動化品質・AI応答最適化・精度保証,AIエラー・精度不足・応答問題・品質劣化のハンドリング,高速AI修正・効率的な精度改善・AI最適化
修正・メンテナンス・fix_系,fix_all_liquidity_displays.py,全流動性表示修正,全ての流動性指標表示修正・流動性分析画面の表示改善・流動比率・当座比率表示の統一・流動性UI全体最適化機能,流動性表示修正 + UI統一,StandardAccountBalance・AnalysisResult,1.流動性表示問題特定→2.表示統一設計→3.UI改善実装→4.表示品質向上→5.統一性検証→6.流動性表示修正完了,入力：流動性表示問題・UI設定 / 出力：修正済み流動性表示・UI統一・表示品質,流動性UI管理・表示統一・ユーザビリティ向上・表示品質改善・操作性最適化,表示エラー・UI不整合・統一性問題・品質劣化のハンドリング,高速表示修正・効率的なUI統一・表示最適化
修正・メンテナンス・fix_系,fix_analysis_results.py,分析結果修正,財務分析結果の修正・分析精度向上・計算結果の品質改善・分析データの整合性修正機能,分析結果修正 + 品質向上,AnalysisResult,1.分析結果問題特定→2.計算精度分析→3.結果品質改善→4.整合性修正→5.精度検証→6.分析結果修正完了,入力：分析結果問題・品質設定 / 出力：修正済み分析結果・品質向上・精度改善,分析品質管理・計算精度向上・結果信頼性・品質保証・分析最適化,分析エラー・計算精度問題・品質劣化・整合性エラーのハンドリング,高速分析修正・効率的な品質改善・分析最適化
修正・メンテナンス・fix_系,fix_available_data.py,利用可能データ修正,データ利用可能性問題の修正・データアクセス改善・可用性向上・データ取得問題の解決機能,データ可用性修正 + アクセス改善,全モデル,1.データ可用性問題特定→2.アクセス問題分析→3.可用性改善→4.データ取得最適化→5.アクセス検証→6.可用性修正完了,入力：データ可用性問題・アクセス設定 / 出力：修正済みデータ可用性・アクセス改善・可用性向上,データ可用性管理・アクセス制御改善・可用性最適化・データ品質向上,アクセスエラー・可用性問題・データ取得失敗・制御問題のハンドリング,高速可用性修正・効率的なアクセス改善・データ最適化
修正・メンテナンス・fix_系,fix_balance_data.py,残高データ修正,残高データの修正・数値精度向上・残高計算の品質改善・財務諸表残高の整合性修正機能,残高データ修正 + 精度向上,StandardAccountBalance,1.残高データ問題特定→2.数値精度分析→3.計算品質改善→4.整合性修正→5.精度検証→6.残高データ修正完了,入力：残高データ問題・精度設定 / 出力：修正済み残高データ・精度向上・品質改善,残高データ品質・数値精度管理・計算品質向上・整合性保証・データ信頼性,残高エラー・精度問題・計算品質劣化・整合性エラーのハンドリング,高速残高修正・効率的な精度改善・計算最適化
修正・メンテナンス・fix_系,fix_bs_parent_codes.py,BS親勘定科目コード修正,貸借対照表の親勘定科目コード修正・BS階層構造の整合性改善・資産・負債・純資産の親子関係修正機能,BS階層修正 + 親子関係,StandardAccount,1.BS階層問題特定→2.親子関係分析→3.階層構造修正→4.BS整合性改善→5.構造検証→6.BS階層修正完了,入力：BS階層問題・構造設定 / 出力：修正済みBS階層・親子関係・構造改善,BS階層管理・親子関係最適化・構造整合性・財務諸表構造改善,階層エラー・親子不整合・構造問題・BS構造エラーのハンドリング,高速階層修正・効率的なBS構造改善・整合性最適化
修正・メンテナンス・fix_系,fix_cash_deposits_total.py,現金預金合計修正,現金預金合計値の修正・現金関連科目の合計計算改善・預金科目合計の精度向上・JA特有の現金預金処理修正機能,現金預金修正 + JA特化,StandardAccount・StandardAccountBalance,1.現金預金問題特定→2.合計計算分析→3.JA特化修正→4.精度向上→5.計算検証→6.現金預金修正完了,入力：現金預金問題・JA設定 / 出力：修正済み現金預金・合計精度・JA特化改善,JA現金預金管理・合計計算精度・業務特性対応・計算品質向上,現金預金エラー・合計計算問題・JA特化失敗・精度劣化のハンドリング,高速現金預金修正・効率的なJA特化処理・計算最適化
修正・メンテナンス・fix_系,fix_cf_operating.py,CF営業活動修正,キャッシュフロー営業活動の修正・営業キャッシュフロー計算改善・営業活動分類の精度向上・CF営業セクション最適化機能,CF営業修正 + 分類精度,StandardAccountBalance,1.CF営業問題特定→2.営業活動分析→3.分類精度改善→4.計算最適化→5.営業CF検証→6.CF営業修正完了,入力：CF営業問題・分類設定 / 出力：修正済みCF営業・分類精度・計算改善,CF営業活動管理・分類精度向上・計算品質改善・キャッシュフロー最適化,CF営業エラー・分類問題・計算精度劣化・営業活動エラーのハンドリング,高速CF営業修正・効率的な分類改善・営業CF最適化
修正・メンテナンス・fix_系,fix_cf_totals.py,CF合計修正,キャッシュフロー合計値の修正・CF各セクション合計の精度向上・営業・投資・財務活動合計の整合性修正機能,CF合計修正 + セクション精度,StandardAccountBalance・AccountFormula,1.CF合計問題特定→2.セクション合計分析→3.精度改善→4.整合性修正→5.合計検証→6.CF合計修正完了,入力：CF合計問題・セクション設定 / 出力：修正済みCF合計・セクション精度・整合性改善,CF合計管理・セクション精度向上・整合性保証・計算品質改善・CF最適化,CF合計エラー・セクション問題・精度劣化・整合性エラーのハンドリング,高速CF合計修正・効率的なセクション改善・CF最適化
修正・メンテナンス・fix_系,fix_cf_triangle_minus.py,CF三角マイナス表示修正,キャッシュフローの負の値表示修正・マイナス値の表示形式統一・CF表示記号の標準化・三角記号表示の改善機能,CF表示修正 + 記号統一,StandardAccountBalance,1.CF表示問題特定→2.マイナス表示分析→3.記号統一実装→4.表示改善→5.形式検証→6.CF表示修正完了,入力：CF表示問題・記号設定 / 出力：修正済みCF表示・記号統一・表示改善,CF表示管理・記号統一・表示形式標準化・ユーザビリティ向上・表示品質,CF表示エラー・記号不統一・表示形式問題・品質劣化のハンドリング,高速CF表示修正・効率的な記号統一・表示最適化
修正・メンテナンス・fix_系,fix_chart_labels.py,チャートラベル修正,財務分析チャートのラベル修正・グラフ表示ラベルの改善・チャート要素の表示品質向上・視覚化ラベル統一機能,チャートラベル修正 + 視覚化改善,AnalysisResult,1.チャートラベル問題特定→2.表示ラベル分析→3.ラベル改善→4.視覚化向上→5.表示検証→6.チャートラベル修正完了,入力：チャートラベル問題・表示設定 / 出力：修正済みチャートラベル・表示改善・視覚化向上,チャート表示管理・ラベル統一・視覚化品質・ユーザビリティ向上・表示最適化,チャートエラー・ラベル問題・表示品質劣化・視覚化エラーのハンドリング,高速チャート修正・効率的なラベル改善・視覚化最適化
修正・メンテナンス・fix_系,fix_current_assets_code.py,流動資産コード修正,流動資産勘定科目コードの修正・流動資産分類の整合性改善・流動資産階層構造の最適化・流動資産科目体系修正機能,流動資産コード修正 + 分類改善,StandardAccount,1.流動資産コード問題特定→2.分類整合性分析→3.階層構造改善→4.科目体系修正→5.整合性検証→6.流動資産修正完了,入力：流動資産コード問題・分類設定 / 出力：修正済み流動資産コード・分類改善・体系最適化,流動資産管理・コード体系最適化・分類整合性・階層構造改善・科目品質,流動資産エラー・コード問題・分類不整合・体系エラーのハンドリング,高速流動資産修正・効率的なコード改善・体系最適化
修正・メンテナンス・fix_系,fix_current_liabilities_total.py,流動負債合計修正,流動負債合計値の修正・流動負債計算の精度向上・短期負債合計の整合性改善・流動負債科目合計最適化機能,流動負債合計修正 + 計算精度,StandardAccountBalance・AccountFormula,1.流動負債合計問題特定→2.計算精度分析→3.合計値修正→4.整合性改善→5.精度検証→6.流動負債修正完了,入力：流動負債合計問題・計算設定 / 出力：修正済み流動負債合計・精度向上・整合性改善,流動負債管理・合計計算精度・整合性保証・計算品質向上・負債最適化,流動負債エラー・合計計算問題・精度劣化・整合性エラーのハンドリング,高速流動負債修正・効率的な合計改善・計算最適化
修正・メンテナンス・fix_系,fix_current_ratio_display.py,流動比率表示修正,流動比率の表示修正・比率計算表示の改善・流動性指標表示の統一・流動比率UI最適化機能,流動比率表示修正 + UI改善,StandardAccountBalance・AnalysisResult,1.流動比率表示問題特定→2.表示形式分析→3.UI改善実装→4.表示統一→5.表示検証→6.流動比率表示修正完了,入力：流動比率表示問題・UI設定 / 出力：修正済み流動比率表示・UI改善・表示統一,流動比率表示管理・UI最適化・表示統一・ユーザビリティ向上・比率表示品質,流動比率表示エラー・UI問題・表示不整合・品質劣化のハンドリング,高速比率表示修正・効率的なUI改善・表示最適化
修正・メンテナンス・fix_系,fix_data_availability_check.py,データ可用性チェック修正,データ可用性チェック機能の修正・データアクセス検証の改善・利用可能データ確認の精度向上・データ状態管理最適化機能,データ可用性修正 + 検証改善,全モデル,1.データ可用性チェック問題特定→2.アクセス検証分析→3.確認精度改善→4.状態管理最適化→5.可用性検証→6.データ可用性修正完了,入力：データ可用性問題・検証設定 / 出力：修正済みデータ可用性・検証改善・状態管理向上,データ可用性管理・アクセス検証改善・状態管理最適化・データ品質向上・可用性保証,データアクセスエラー・可用性問題・検証失敗・状態管理エラーのハンドリング,高速可用性修正・効率的な検証改善・データ管理最適化
修正・メンテナンス・fix_系,fix_deposit_mapping_rule.py,預金マッピングルール修正,JA預金科目マッピングルールの修正・預金関連科目の自動判定改善・JAの業務特性対応ルール最適化・預金マッピング精度向上機能,預金マッピング修正 + JA特化,AccountMapping・StandardAccount,1.預金マッピングルール問題特定→2.JA業務特性分析→3.ルール最適化→4.マッピング精度向上→5.ルール検証→6.預金マッピング修正完了,入力：預金マッピング問題・JA業務設定 / 出力：修正済み預金マッピングルール・精度向上・JA特化改善,JA預金業務管理・マッピングルール最適化・業務特性対応・精度向上・ルール品質,預金マッピングエラー・ルール不適用・JA特化失敗・精度劣化のハンドリング,高速預金マッピング修正・効率的なルール改善・JA特化最適化
修正・メンテナンス・fix_系,fix_encoding_issues.py,エンコーディング問題修正,文字エンコーディング問題の修正・文字化け解決・データ取り込み時の文字コード問題対応・マルチバイト文字処理改善機能,エンコーディング修正 + 文字化け対応,CSVData・全モデル,1.エンコーディング問題特定→2.文字コード分析→3.文字化け修正→4.マルチバイト処理改善→5.エンコーディング検証→6.文字問題修正完了,入力：エンコーディング問題・文字コード設定 / 出力：修正済みエンコーディング・文字化け解決・処理改善,文字エンコーディング管理・文字化け対応・マルチバイト処理・データ品質向上・文字処理最適化,エンコーディングエラー・文字化け・文字コード問題・処理失敗のハンドリング,高速文字処理修正・効率的なエンコーディング改善・文字処理最適化
修正・メンテナンス・fix_系,fix_exact_match.py,完全一致マッピング修正,完全一致マッピング機能の修正・文字列一致精度向上・マッピング正確性改善・完全一致処理最適化機能,完全一致修正 + 精度向上,AccountMapping・StandardAccount,1.完全一致問題特定→2.文字列一致分析→3.精度向上実装→4.正確性改善→5.一致検証→6.完全一致修正完了,入力：完全一致問題・精度設定 / 出力：修正済み完全一致・精度向上・正確性改善,完全一致精度管理・文字列処理改善・マッピング正確性・処理最適化・品質向上,完全一致エラー・精度不足・文字列処理問題・正確性劣化のハンドリング,高速完全一致修正・効率的な精度改善・文字列最適化
修正・メンテナンス・fix_系,fix_ja001_liquidity.py,JA001流動性修正,特定JA（JA001）の流動性指標修正・個別JA流動性問題対応・流動性計算の個別最適化・JA001特有問題解決機能,個別JA修正 + 流動性特化,AnalysisResult・StandardAccountBalance,1.JA001流動性問題特定→2.個別問題分析→3.流動性計算修正→4.個別最適化→5.流動性検証→6.JA001修正完了,入力：JA001流動性問題・個別設定 / 出力：修正済みJA001流動性・個別最適化・問題解決,個別JA管理・流動性特化対応・個別問題解決・カスタム最適化・JA特化品質,個別JA問題・流動性エラー・最適化失敗・特化対応失敗のハンドリング,効率的な個別JA修正・流動性最適化・個別対応効率化
修正・メンテナンス・fix_系,fix_ja002_safety.py,JA002安全性修正,特定JA（JA002）の安全性指標修正・個別JA安全性問題対応・安全性計算の個別最適化・JA002特有問題解決機能,個別JA修正 + 安全性特化,AnalysisResult・StandardAccountBalance,1.JA002安全性問題特定→2.個別問題分析→3.安全性計算修正→4.個別最適化→5.安全性検証→6.JA002修正完了,入力：JA002安全性問題・個別設定 / 出力：修正済みJA002安全性・個別最適化・問題解決,個別JA管理・安全性特化対応・個別問題解決・カスタム最適化・JA特化品質,個別JA問題・安全性エラー・最適化失敗・特化対応失敗のハンドリング,効率的な個別JA修正・安全性最適化・個別対応効率化
修正・メンテナンス・fix_系,fix_ja004_efficiency.py,JA004効率性修正,特定JA（JA004）の効率性指標修正・個別JA効率性問題対応・効率性計算の個別最適化・JA004特有問題解決機能,個別JA修正 + 効率性特化,AnalysisResult・StandardAccountBalance,1.JA004効率性問題特定→2.個別問題分析→3.効率性計算修正→4.個別最適化→5.効率性検証→6.JA004修正完了,入力：JA004効率性問題・個別設定 / 出力：修正済みJA004効率性・個別最適化・問題解決,個別JA管理・効率性特化対応・個別問題解決・カスタム最適化・JA特化品質,個別JA問題・効率性エラー・最適化失敗・特化対応失敗のハンドリング,効率的な個別JA修正・効率性最適化・個別対応効率化
修正・メンテナンス・fix_系,fix_liquidity_balances.py,流動性残高修正,流動性指標関連残高の修正・流動資産・流動負債残高の精度向上・流動性計算用データの品質改善・流動性残高最適化機能,流動性残高修正 + 精度向上,StandardAccountBalance,1.流動性残高問題特定→2.残高精度分析→3.流動性データ修正→4.品質改善→5.残高検証→6.流動性残高修正完了,入力：流動性残高問題・精度設定 / 出力：修正済み流動性残高・精度向上・品質改善,流動性残高管理・精度向上・データ品質改善・流動性最適化・残高品質,流動性残高エラー・精度問題・データ品質劣化・流動性計算エラーのハンドリング,高速流動性残高修正・効率的な精度改善・流動性最適化
修正・メンテナンス・fix_系,fix_liquidity_ui_display.py,流動性UI表示修正,流動性指標のUI表示修正・流動性分析画面の改善・流動性チャート表示の最適化・流動性ユーザーインターフェース向上機能,流動性UI修正 + 表示改善,StandardAccountBalance・AnalysisResult,1.流動性UI問題特定→2.表示設計分析→3.UI改善実装→4.表示最適化→5.UI検証→6.流動性UI修正完了,入力：流動性UI問題・表示設定 / 出力：修正済み流動性UI・表示改善・UI最適化,流動性UI管理・表示品質向上・ユーザビリティ改善・チャート最適化・UI品質,流動性UI エラー・表示問題・UI不整合・ユーザビリティ劣化のハンドリング,高速流動性UI修正・効率的な表示改善・UI最適化
修正・メンテナンス・fix_系,fix_pl_balances.py,PL残高修正,損益計算書残高の修正・PL残高データの精度向上・収益・費用残高の品質改善・損益計算精度最適化機能,PL残高修正 + 精度向上,StandardAccountBalance,1.PL残高問題特定→2.残高精度分析→3.損益データ修正→4.品質改善→5.PL残高検証→6.PL残高修正完了,入力：PL残高問題・精度設定 / 出力：修正済みPL残高・精度向上・品質改善,PL残高管理・精度向上・損益データ品質・計算精度改善・PL最適化,PL残高エラー・精度問題・損益計算エラー・品質劣化のハンドリング,高速PL残高修正・効率的な精度改善・損益最適化
修正・メンテナンス・fix_系,fix_pl_data.py,PLデータ修正,損益計算書データの修正・PL財務諸表データの品質向上・収益性分析データの改善・損益計算書全体最適化機能,PLデータ修正 + 品質向上,StandardAccountBalance・CSVData,1.PLデータ問題特定→2.財務諸表分析→3.データ品質改善→4.収益性データ修正→5.PL検証→6.PLデータ修正完了,入力：PLデータ問題・品質設定 / 出力：修正済みPLデータ・品質向上・財務諸表改善,PLデータ管理・財務諸表品質・収益性データ改善・損益最適化・データ品質,PLデータエラー・財務諸表問題・品質劣化・収益性エラーのハンドリング,高速PLデータ修正・効率的な品質改善・損益最適化
修正・メンテナンス・fix_系,fix_pl_data_simplified.py,PL簡易データ修正,損益計算書の簡易データ修正・軽量PLデータ処理・基本的なPL問題の修正・シンプルな損益データ改善機能,PL簡易修正 + 軽量処理,StandardAccountBalance・CSVData,1.PL簡易問題特定→2.軽量修正設計→3.基本問題修正→4.シンプル改善→5.簡易検証→6.PL簡易修正完了,入力：PL簡易問題・軽量設定 / 出力：修正済み簡易PLデータ・軽量改善・基本品質,PL簡易管理・軽量処理・基本品質改善・シンプル最適化・効率化,PL簡易エラー・軽量処理問題・基本品質劣化・簡易修正失敗のハンドリング,最高速PL修正・軽量処理最適化・効率最大化
修正・メンテナンス・fix_系,fix_pl_mappings.py,PLマッピング修正,損益計算書科目マッピングの修正・PL勘定科目マッピング精度向上・収益・費用科目マッピングの品質改善・PLマッピング最適化機能,PLマッピング修正 + 精度向上,AccountMapping・StandardAccount,1.PLマッピング問題特定→2.科目マッピング分析→3.精度向上実装→4.品質改善→5.PLマッピング検証→6.PLマッピング修正完了,入力：PLマッピング問題・精度設定 / 出力：修正済みPLマッピング・精度向上・品質改善,PLマッピング管理・科目精度向上・マッピング品質改善・PL最適化・精度保証,PLマッピングエラー・精度不足・品質劣化・マッピング失敗のハンドリング,高速PLマッピング修正・効率的な精度改善・マッピング最適化
